date_of_install,ID
20170928,3
20170929,1
20171001,1
20171003,2
20171007,1
20171009,2
20171012,1
20171013,2
20171016,1
20171018,1
20171023,5
20171024,2
20171025,15
20171026,4
20171027,8
20171028,13
20171029,5
20171030,9
20171031,10
20171101,3
20171102,2
20171103,3
20171104,2
20171105,4
20171106,1
20171107,15
20171108,28
20171109,10
20171110,8
20171111,9
20171112,8
20171113,6
20171114,9
20171115,3
20171116,8
20171117,7
20171118,23
20171119,17
20171120,11
20171121,9
20171122,10
20171123,6
20171124,5
20171125,6
20171126,7
20171127,6
20171128,18
20171129,3
20171130,13
20171201,19
20171202,13
20171203,10
20171204,11
20171205,8
20171206,16
20171207,12
20171208,9
20171209,14
20171210,7
20171211,6
20171212,5
20171213,5
20171214,6
20171215,3
20171216,4
20171217,7
20171218,9
20171219,54
20171220,141
20171221,169
20171222,56
20171223,40
20171224,51
20171225,50
20171226,65
20171227,32
20171228,58
20171229,58
20171230,53
20171231,34
20180101,25
20180102,21
20180103,16
20180104,19
20180105,18
20180106,38
20180107,28
20180108,11
20180109,10
20180110,50
20180111,70
20180112,65
20180113,35
20180114,29
20180115,20
20180116,25
20180117,25
20180118,16
20180119,28
20180120,35
20180121,48
20180122,21
20180123,15
20180124,48
20180125,33
20180126,24
20180127,26
20180128,36
20180129,23
20180130,16
20180131,29
20180201,20
20180202,19
20180203,64
20180204,41
20180205,32
20180206,56
20180207,40
20180208,44
20180209,69
20180210,50
20180211,65
20180212,55
20180213,24
20180214,25
20180215,20
20180216,19
20180217,23
20180218,21
20180219,17
20180220,10
20180221,14
20180222,6
20180223,11
20180224,29
20180225,33
20180226,22
20180227,20
20180228,8
20180301,13
20180302,12
20180303,19
20180304,24
20180305,12
20180306,20
20180307,28
20180308,18
20180309,24
20180310,37
20180311,22
20180312,29
20180313,14
20180314,32
20180315,18
20180316,12
20180317,12
20180318,16
20180319,10
20180320,15
20180321,24
20180322,16
20180323,17
20180324,19
20180325,21
20180326,19
20180327,19
20180328,21
20180329,94
20180330,70
20180331,46
